State   County  Year    UFOSightingCount   Population_Density   Housing_Density Urban_Rural
New Jersey  morris  2009  18  1069.8  412.5   Rural
Oklahoma  oklahoma  2003  1  1013.8  451.2   Rural
Pennsylvania  lehigh  1994  1  900.3  371.9   Rural
Nebraska  adams  2008  1  55.7  23.7   Rural
Oklahoma  bryan  2002  1  46.9  21.7   Rural
Arizona  mohave  2001  2  15.0  8.3   Rural
New Jersey  bergen  2007  6  3884.5  1512.3   Urban
North Carolina  onslow  2009  1  233.1  89.4   Rural
North Carolina  halifax  2005  1  75.5  35.6   Rural
Kansas  sedgwick  1996  1  453.2  191.3   Rural
Oregon  washington  2006  36  731.4  293.3   Rural
North Carolina  pitt  2000  2  205.3  89.6   Rural
Colorado  arapahoe  1995  1  607.6  245.1   Rural
California  santa clara  1994  1  1303.6  448.9   Rural
Ohio  stark  2004  4  652.9  287.2   Rural
West Virginia  raleigh  2009  1  130.3  59.4   Rural
New York  washington  2006  3  76.1  34.7   Rural
Arkansas  poinsett  2005  1  32.4  14.4   Rural
Ohio  licking  1998  1  211.9  85.6   Rural
New York  ontario  2001  1  167.6  74.8   Rural
California  shasta  1996  6  43.1  18.2   Rural
Kentucky  green  2005  1  39.4  18.6   Rural
Minnesota  washington  2008  2  619.7  240.4   Rural
North Carolina  burke  1998  1  175.9  73.9   Rural
Ohio  wood  2004  4  203.3  86.5   Rural
California  santa cruz  1996  2  574.1  222.1   Rural
Washington  mason  2005  3  63.3  33.9   Rural
Texas  wichita  2008  3  209.5  88.5   Rural
Pennsylvania  erie  2001  1  351.1  149.1   Rural
North Carolina  mecklenburg  2009  7  1755.5  760.7   Urban
New Jersey  somerset  2007  1  1071.7  408.0   Rural
Maine  washington  2007  1  12.8  9.0   Rural
Vermont  orange  2009  1  42.1  21.6   Rural
Texas  shelby  2003  1  32.0  14.9   Rural
Minnesota  sherburne  2006  1  204.4  74.8   Rural
California  glenn  2005  1  21.4  8.2   Rural
Massachusetts  norfolk  1995  3  1627.5  638.6   Urban
Michigan  ottawa  2001  2  468.2  181.9   Rural
Oklahoma  cimarron  2001  1  1.3  0.9   Rural
Kansas  saline  2001  1  77.2  33.5   Rural
Illinois  mason  1998  2  29.8  13.0   Rural
Kansas  ottawa  2008  1  8.5  3.9   Rural
Ohio  butler  1999  3  712.2  277.8   Rural
Florida  lee  2010  3  788.7  473.0   Rural
West Virginia  brooke  2007  1  269.8  122.9   Rural
Washington  snohomish  2008  28  341.8  137.3   Rural
Hawaii  maui  1998  1  110.5  48.6   Rural
New Mexico  luna  2003  3  8.5  3.7   Rural
Illinois  marion  2001  1  68.9  32.0   Rural
New York  onondaga  1999  2  587.4  252.0   Rural
New Hampshire  merrimack  1998  1  145.8  60.2   Rural
New Mexico  guadalupe  2005  1  1.5  0.8   Rural
Pennsylvania  delaware  1998  1  2990.4  1177.9   Urban
Virginia  bedford  2004  1  91.2  42.4   Rural
Kansas  miami  2004  1  57.0  22.9   Rural
Idaho  bonner  2007  1  23.6  14.2   Rural
Ohio  mahoning  2010  2  580.2  271.7   Rural
Missouri  phelps  2008  2  67.2  29.1   Rural
California  orange  1991  4  3605.6  1228.1   Urban
Georgia  brooks  2002  1  32.9  15.6   Rural
Indiana  elkhart  2007  2  426.5  167.9   Rural
Nebraska  cherry  2007  1  1.0  0.5   Rural
Texas  palo pinto  2009  4  29.5  16.0   Rural
New York  essex  2006  1  21.9  14.3   Rural
Florida  putnam  2007  2  102.2  51.3   Rural
Arkansas  little river  2003  2  24.7  12.1   Rural
Texas  fort bend  2005  11  679.5  228.7   Rural
Ohio  clermont  2009  14  436.5  178.4   Rural
Iowa  johnson  2002  2  213.1  91.1   Rural
Nevada  clark  2001  36  247.3  106.5   Rural
Virginia  prince william  2008  7  1195.0  407.6   Rural
Michigan  alger  2001  1  10.5  7.2   Rural
Missouri  dent  2004  1  20.8  9.7   Rural
Kentucky  scott  1996  1  116.1  45.6   Rural
Georgia  chatham  2001  3  621.7  279.8   Rural
Florida  duval  2005  10  1133.9  509.7   Urban
Pennsylvania  franklin  2008  2  193.7  81.9   Rural
Massachusetts  bristol  1999  1  961.7  390.1   Rural
Indiana  hancock  2009  1  228.8  91.9   Rural
Virginia  fairfax  2005  7  2766.8  1043.6   Urban
Washington  cowlitz  2007  2  89.8  38.1   Rural
Oklahoma  washington  2005  1  122.7  56.4   Rural
South Carolina  dorchester  2005  2  238.2  96.3   Rural
Texas  brazoria  2001  3  230.7  87.2   Rural
Ohio  huron  2007  1  121.3  51.3   Rural
Idaho  kootenai  2005  3  111.3  50.8   Rural
New York  sullivan  2008  3  80.1  50.8   Rural
Tennessee  roane  2003  1  150.2  71.3   Rural
Arkansas  craighead  2005  1  136.4  57.3   Rural
New Mexico  santa fe  2001  4  75.5  37.3   Rural
Pennsylvania  cumberland  2002  1  431.6  183.3   Rural
Kentucky  boone  2003  2  482.3  187.3   Rural
Michigan  calhoun  2010  2  192.8  86.4   Rural
Georgia  carroll  2001  1  221.5  89.4   Rural
Michigan  midland  2006  1  162.0  69.7   Rural
Texas  walker  2010  1  86.5  30.7   Rural
Florida  pinellas  1996  1  3292.0  1720.4   Urban
California  el dorado  2000  7  91.4  41.7   Rural
Michigan  monroe  1995  1  264.8  102.5   Rural
Georgia  pickens  2007  1  126.8  59.0   Rural
Michigan  macomb  2002  4  1754.9  744.2   Urban
Pennsylvania  luzerne  2010  4  360.4  167.1   Rural
Ohio  muskingum  2001  2  129.5  57.3   Rural
Kansas  butler  2002  1  46.1  18.2   Rural
Idaho  twin falls  1999  1  33.4  13.3   Rural
Virginia  arlington  2009  1  7993.5  4058.0   Urban
Missouri  iron  2010  2  19.3  9.7   Rural
Puerto Rico  utuado  1992  1  311.5  109.9   Rural
Michigan  ogemaw  2003  1  38.5  28.5   Rural
Texas  chambers  2006  3  58.8  22.3   Rural
Wisconsin  ozaukee  2006  1  370.7  155.6   Rural
New Jersey  morris  2000  1  1002.6  371.8   Rural
Pennsylvania  lebanon  2004  1  369.1  153.6   Rural
Minnesota  rice  1994  1  113.9  40.3   Rural
Arkansas  faulkner  1998  1  132.9  53.4   Rural
Missouri  jackson  1996  2  1082.7  476.5   Rural
Montana  roosevelt  2008  1  4.4  1.7   Rural
Oregon  multnomah  2002  2  1704.9  753.2   Urban
Connecticut  litchfield  2001  1  206.3  95.1   Rural
Illinois  jackson  2004  1  103.1  48.9   Rural
Pennsylvania  york  2002  8  481.1  197.6   Rural
Washington  san juan  1999  1  80.5  55.8   Rural
Arizona  mohave  2008  7  15.0  8.3   Rural
New Jersey  bergen  1996  1  3775.5  1451.2   Urban
North Carolina  brunswick  2009  6  126.8  91.5   Rural
Wisconsin  polk  2005  1  48.4  26.5   Rural
North Carolina  halifax  1998  1  79.1  34.9   Rural
Arizona  cochise  2004  1  21.3  9.6   Rural
Maryland  calvert  2007  1  416.3  158.5   Rural
Tennessee  hardeman  2004  1  40.8  16.2   Rural
Wyoming  fremont  2010  1  4.4  1.9   Rural
West Virginia  raleigh  2000  1  130.5  58.8   Rural
Colorado  grand  2004  1  8.0  8.7   Rural
Texas  bexar  1999  1  1117.2  418.1   Rural
Minnesota  anoka  1993  1  703.7  255.2   Rural
Washington  jefferson  1999  2  14.3  7.8   Rural
Georgia  spalding  2007  1  326.1  136.3   Rural
Texas  hutchinson  2005  1  25.0  12.0   Rural
New York  cattaraugus  2007  1  61.4  31.4   Rural
California  yuba  2010  1  114.2  43.7   Rural
Minnesota  washington  2001  6  619.7  240.4   Rural
Texas  medina  2002  1  34.7  13.6   Rural
New York  saratoga  2000  2  247.1  106.8   Rural
Vermont  windsor  2005  1  58.5  35.2   Rural
Indiana  vermillion  2005  1  63.1  29.1   Rural
Pennsylvania  erie  2008  4  351.1  149.1   Rural
Texas  shelby  2008  1  32.0  14.9   Rural
Iowa  tama  2008  1  24.6  10.8   Rural
California  riverside  2007  27  303.8  111.1   Rural
Maryland  charles  1997  1  261.5  95.2   Rural
Pennsylvania  indiana  1996  1  108.1  44.9   Rural
Georgia  marion  2008  1  23.9  11.4   Rural
South Dakota  lawrence  2002  1  30.1  15.9   Rural
Montana  gallatin  1992  1  26.0  11.3   Rural
Iowa  madison  2006  1  27.9  11.7   Rural
Washington  grays harbor  2006  2  38.3  18.5   Rural
Kansas  saline  2008  2  77.2  33.5   Rural
Ohio  seneca  1998  1  106.6  43.0   Rural
Maine  york  2006  5  199.0  106.8   Rural
New York  new york  2005  20  69468.4  37106.4   Urban
Washington  kitsap  1992  1  585.8  234.0   Rural
South Carolina  anderson  2004  2  261.6  118.5   Rural
Florida  lee  2003  6  788.7  473.0   Rural
Hawaii  maui  2005  1  133.3  60.6   Rural
New Mexico  luna  2010  1  8.5  3.7   Rural
Texas  parker  2007  1  129.4  51.6   Rural
Wyoming  laramie  2003  1  34.2  15.1   Rural
Ohio  putnam  2002  1  71.5  28.5   Rural
Pennsylvania  delaware  2009  14  3040.5  1212.5   Urban
Texas  colorado  2008  1  21.7  11.0   Rural
South Carolina  darlington  2009  3  122.4  54.0   Rural
Georgia  richmond  2010  1  618.4  266.2   Rural
Indiana  knox  2001  1  74.5  33.0   Rural
New Mexico  lea  2002  1  14.7  5.7   Rural
Kentucky  pike  2009  1  82.6  38.5   Rural
Texas  nacogdoches  2010  1  68.2  29.0   Rural
Pennsylvania  lackawanna  2005  2  467.1  210.9   Rural
Tennessee  franklin  2009  1  74.0  33.7   Rural
Missouri  phelps  2001  3  67.2  29.1   Rural
Tennessee  white  2003  1  68.6  30.6   Rural
Colorado  montrose  2004  2  18.4  8.1   Rural
Tennessee  maury  1999  1  113.4  46.8   Rural
North Dakota  cass  2000  2  69.8  30.5   Rural
Tennessee  mcminn  2004  1  121.5  54.3   Rural
Texas  kendall  1997  1  35.8  14.5   Rural
California  sacramento  1999  11  1267.0  491.7   Rural
Tennessee  carter  2009  2  168.3  81.3   Rural
Washington  thurston  2009  7  349.4  149.8   Rural
Michigan  antrim  1999  4  48.5  31.6   Rural
Arkansas  washington  2005  2  215.6  93.2   Rural
New York  dutchess  2009  6  373.9  149.1   Rural
New Mexico  los alamos  1998  1  167.8  72.6   Rural
Wisconsin  milwaukee  1994  1  3892.1  1656.3   Urban
Massachusetts  nantucket  2010  1  226.2  258.4   Rural
Kansas  johnson  2005  8  1149.6  478.6   Rural
Pennsylvania  bradford  2010  1  54.6  26.1   Rural
North Carolina  jackson  2007  1  82.1  52.9   Rural
Minnesota  scott  2008  1  364.5  132.2   Rural
Ohio  clermont  2002  11  436.5  178.4   Rural
Connecticut  new london  2008  8  412.2  182.0   Rural
Texas  victoria  2002  1  98.4  40.1   Rural
North Dakota  grand forks  2007  1  46.5  20.4   Rural
Virginia  warren  2008  1  176.0  75.1   Rural
New York  cortland  2004  2  98.9  41.3   Rural
Florida  duval  1996  3  1006.7  426.3   Rural
Pennsylvania  franklin  2007  3  193.7  81.9   Rural
Illinois  mclean  2009  4  143.3  58.9   Rural
New Mexico  bernalillo  1999  1  477.4  205.0   Rural
Oregon  josephine  1998  2  46.2  20.3   Rural
Kentucky  calloway  2009  1  96.6  46.9   Rural
Virginia  fairfax  2010  2  2766.8  1043.6   Urban
Washington  cowlitz  1998  2  81.6  33.9   Rural
Missouri  newton  2009  1  93.0  38.9   Rural
Arkansas  boone  2008  2  62.5  28.5   Rural
Texas  brazoria  2008  5  230.7  87.2   Rural
Mississippi  choctaw  2010  1  20.4  9.9   Rural
California  los angeles  1996  17  2344.2  805.5   Urban
Indiana  vanderburgh  2000  4  732.9  325.3   Rural
Connecticut  tolland  2004  3  372.2  141.3   Rural
New Mexico  valencia  2003  2  71.8  28.2   Rural
Maryland  talbot  2009  1  140.7  72.9   Rural
Arkansas  baxter  2006  1  74.9  40.7   Rural
Washington  franklin  2007  1  62.9  19.7   Rural
Colorado  adams  1999  3  305.3  111.2   Rural
California  san luis obispo  2001  6  81.7  35.6   Rural
Kentucky  boone  2010  1  482.3  187.3   Rural
Indiana  putnam  2002  1  79.0  30.6   Rural
Wisconsin  grant  2010  1  44.7  18.8   Rural
California  nevada  2004  2  103.1  54.9   Rural
New York  greene  2008  2  76.1  45.1   Rural
Texas  harris  1995  1  1967.0  750.9   Urban
Wisconsin  la crosse  1999  2  236.6  96.0   Rural
Missouri  bates  2001  1  20.4  9.4   Rural
North Carolina  watauga  1995  1  136.6  74.1   Rural
Washington  okanogan  1994  1  7.5  3.6   Rural
Oregon  linn  2004  2  50.9  21.3   Rural
South Dakota  lincoln  1992  1  41.7  15.8   Rural
Oklahoma  stephens  2007  1  51.8  23.7   Rural
Georgia  lowndes  1998  2  182.7  72.5   Rural
Idaho  twin falls  2008  2  40.2  16.2   Rural
Virginia  amherst  2010  3  68.3  29.5   Rural
Tennessee  knox  2010  2  850.5  383.6   Rural
North Carolina  cherokee  1998  1  53.4  29.7   Rural
Washington  grant  2003  5  33.3  13.1   Rural
Ohio  hamilton  2002  2  1976.7  929.7   Urban
California  santa barbara  2010  6  155.0  55.9   Rural
Missouri  clay  2002  1  558.6  236.4   Rural
Texas  taylor  2004  1  143.6  60.9   Rural
Iowa  washington  2005  1  38.2  16.7   Rural
Virginia  nelson  2003  1  31.9  21.1   Rural
Mississippi  hinds  1994  1  288.5  115.4   Rural
Texas  chambers  2009  3  58.8  22.3   Rural
Wisconsin  ozaukee  1999  1  354.9  138.1   Rural
Vermont  rutland  2009  1  66.3  36.3   Rural
Kentucky  montgomery  2004  1  134.3  59.3   Rural
Georgia  chattooga  1996  1  81.3  34.1   Rural
New Jersey  ocean  1994  2  803.0  390.9   Rural
Michigan  genesee  2002  3  668.5  301.7   Rural
Tennessee  haywood  2005  1  35.2  15.6   Rural
Oregon  deschutes  2010  1  52.3  26.6   Rural
Alabama  lauderdale  1992  1  131.4  60.4   Rural
Washington  ferry  1998  1  3.3  1.7   Rural
Minnesota  dakota  1999  3  624.9  234.8   Rural
Pennsylvania  york  2009  8  481.1  197.6   Rural
North Carolina  brunswick  2000  2  85.6  60.2   Rural
Arizona  cochise  1999  5  19.1  8.3   Rural
West Virginia  randolph  1996  1  27.2  13.0   Rural
New York  erie  2002  8  881.4  402.8   Rural
California  santa clara  2008  27  1381.0  489.8   Rural
Colorado  arapahoe  2009  15  716.7  298.6   Rural
Utah  utah  2002  6  257.8  74.0   Rural
Georgia  union  2005  2  66.3  43.6   Rural
Minnesota  anoka  2000  4  703.7  255.2   Rural
Texas  bexar  2006  1  1383.1  534.7   Urban
California  mariposa  2005  1  12.6  7.0   Rural
Texas  ector  1999  1  134.4  54.9   Rural
Ohio  delaware  1992  2  248.6  95.8   Rural
Utah  salt lake  2003  7  1387.1  490.4   Rural
Texas  jim wells  2003  1  47.2  18.7   Rural
Tennessee  sullivan  2001  4  379.4  178.4   Rural
New York  schuyler  2009  1  55.9  28.8   Rural
Texas  erath  2010  2  35.0  15.7   Rural
Oklahoma  cleveland  1999  3  388.0  158.3   Rural
California  riverside  1998  8  214.4  81.1   Rural
Idaho  elmore  2010  1  8.8  4.0   Rural
California  alameda  1994  2  1957.4  732.4   Urban
Minnesota  koochiching  2010  1  4.3  2.5   Rural
Wisconsin  waukesha  2005  5  709.4  292.7   Rural
New Hampshire  rockingham  1997  2  399.1  162.6   Rural
Minnesota  morrison  2007  1  29.5  14.0   Rural
New Jersey  middlesex  2001  19  2621.6  954.3   Urban
Missouri  johnson  1995  1  58.1  22.7   Rural
Ohio  butler  2009  8  788.2  317.5   Rural
Rhode Island  newport  2010  1  809.6  408.2   Rural
Florida  brevard  1997  5  467.7  218.1   Rural
South Carolina  anderson  1997  2  230.8  102.0   Rural
Pennsylvania  jefferson  2008  1  69.3  34.4   Rural
Washington  snohomish  1994  1  290.1  113.1   Rural
West Virginia  berkeley  2005  2  324.4  139.4   Rural
Kentucky  christian  2005  2  103.1  41.1   Rural
Texas  parker  1998  1  97.9  37.7   Rural
New York  schenectady  1999  1  711.1  315.5   Rural
Illinois  saline  2007  1  65.6  30.8   Rural
Texas  orange  2008  3  245.3  105.8   Rural
Wisconsin  dunn  2009  1  51.6  21.1   Rural
North Carolina  guilford  2000  2  648.3  277.8   Rural
Washington  skagit  1996  2  59.3  24.6   Rural
Texas  nacogdoches  2003  1  68.2  29.0   Rural
Georgia  catoosa  2007  2  394.3  164.1   Rural
Tennessee  sevier  2000  1  120.2  62.9   Rural
Tennessee  maury  2006  2  132.0  57.5   Rural
California  orange  2001  23  3807.7  1326.8   Urban
North Carolina  wayne  2004  1  221.7  95.7   Rural
California  mono  2010  1  4.7  4.6   Rural
Pennsylvania  northumberland  2008  4  206.2  98.4   Rural
Washington  thurston  2000  8  285.2  119.2   Rural
Ohio  fayette  2003  1  71.4  31.2   Rural
New York  dutchess  2000  1  349.5  132.4   Rural
California  fresno  2007  10  156.2  53.0   Rural
Texas  galveston  1994  1  627.8  280.4   Rural
Massachusetts  nantucket  2001  1  226.2  258.4   Rural
Kansas  johnson  2010  2  1149.6  478.6   Rural
Wyoming  sweetwater  1998  1  3.6  1.5   Rural
North Carolina  iredell  2003  1  277.8  120.3   Rural
Colorado  el paso  2001  6  292.6  118.9   Rural
Ohio  pike  2007  1  65.2  28.3   Rural
Connecticut  new london  2003  1  412.2  182.0   Rural
Virginia  prince william  1998  1  831.3  290.3   Rural
South Carolina  florence  2001  1  171.1  73.3   Rural
Montana  glacier  2007  1  4.5  1.8   Rural
Oregon  wasco  2005  2  10.6  4.8   Rural
Michigan  osceola  2001  1  41.5  24.1   Rural
Georgia  bulloch  2007  3  104.4  42.8   Rural
Georgia  gwinnett  2007  6  1871.2  677.4   Urban
Kentucky  hardin  2000  2  150.0  60.0   Rural
Georgia  chatham  1999  7  529.7  227.5   Rural
Iowa  keokuk  2009  1  18.1  8.5   Rural
Alabama  cleburne  1996  1  25.2  11.0   Rural
Illinois  mclean  2002  1  143.3  58.9   Rural
Oregon  josephine  1991  1  46.2  20.3   Rural
Kentucky  calloway  2000  1  88.5  41.6   Rural
North Carolina  nash  2008  2  177.3  78.2   Rural
Nevada  lincoln  2008  2  0.5  0.3   Rural
Georgia  coffee  2004  1  73.7  29.7   Rural
Illinois  champaign  2010  1  201.8  87.9   Rural
Missouri  scott  2003  1  93.3  40.4   Rural
Pennsylvania  adams  2009  3  195.5  78.7   Rural
New York  broome  2002  2  284.2  128.3   Rural
Idaho  valley  1991  1  2.1  2.2   Rural
Arizona  yuma  1997  2  29.0  13.4   Rural
New York  sullivan  1998  1  76.3  46.1   Rural
California  los angeles  2005  99  2419.6  849.0   Urban
Indiana  monroe  2005  1  349.7  149.8   Rural
Georgia  gordon  2007  1  155.1  62.6   Rural
California  ventura  2006  11  446.7  152.8   Rural
Indiana  vanderburgh  1993  1  732.9  325.3   Rural
Nebraska  lancaster  2007  4  340.8  144.3   Rural
Missouri  randolph  2010  1  52.7  22.2   Rural
North Carolina  buncombe  1999  2  314.5  143.3   Rural
Virginia  mathews  1997  1  107.5  62.2   Rural
California  san luis obispo  2008  13  81.7  35.6   Rural
Iowa  jones  2007  1  35.9  15.5   Rural
New Mexico  san juan  1997  1  20.6  7.8   Rural
Colorado  adams  2008  4  378.2  139.7   Rural
South Carolina  york  2001  1  332.2  138.4   Rural
Arizona  pima  2005  18  106.7  48.0   Rural
New York  greene  2001  1  76.1  45.1   Rural
Texas  harris  2000  4  1967.0  750.9   Urban
Wisconsin  la crosse  2004  2  253.8  107.2   Rural
Arkansas  union  2004  1  40.1  18.9   Rural
Missouri  bates  2008  3  20.4  9.4   Rural
South Carolina  orangeburg  2008  1  83.6  38.4   Rural
Mississippi  desoto  2006  2  338.7  129.4   Rural
Virginia  greene  2009  1  117.8  48.1   Rural
North Carolina  forsyth  2008  3  859.2  384.4   Rural
Colorado  alamosa  2000  1  20.7  8.4   Rural
Oregon  linn  1997  1  45.0  18.6   Rural
New York  niagara  2007  1  414.4  189.8   Rural
Georgia  lowndes  2009  3  220.2  88.5   Rural
Virginia  arlington  1999  1  7323.3  3495.4   Urban
Tennessee  knox  2003  4  850.5  383.6   Rural
Maryland  montgomery  2006  3  1978.2  765.2   Urban
Washington  grant  2010  3  33.3  13.1   Rural
Minnesota  ramsey  2006  4  3341.6  1426.9   Urban
Tennessee  humphreys  1999  1  33.7  15.9   Rural
California  santa barbara  2001  4  155.0  55.9   Rural
Missouri  clay  1995  1  464.3  192.3   Rural
Texas  taylor  1997  1  138.2  56.9   Rural
Washington  clallam  2007  1  41.1  20.5   Rural
Oregon  polk  2005  2  101.8  40.9   Rural
Pennsylvania  warren  2006  1  47.3  26.6   Rural
Indiana  steuben  2009  2  110.7  62.7   Rural
Virginia  nelson  2010  1  31.9  21.1   Rural
New Jersey  warren  2010  2  304.5  125.9   Rural
Minnesota  hennepin  1998  1  2005.3  842.3   Urban
West Virginia  wayne  2007  2  84.0  38.0   Rural
Texas  lubbock  1992  1  269.7  111.8   Rural
Ohio  pickaway  2010  1  111.1  42.4   Rural
Pennsylvania  lebanon  1994  1  332.5  136.3   Rural
Oregon  deschutes  2003  2  52.3  26.6   Rural
Pennsylvania  lehigh  2005  1  1012.5  413.2   Rural
Florida  santa rosa  1997  3  115.8  48.3   Rural
Kentucky  magoffin  2007  1  43.2  19.3   Rural
Minnesota  dakota  2006  9  709.0  283.9   Rural
Maryland  washington  2010  5  322.1  132.8   Rural
North Carolina  brunswick  1995  2  85.6  60.2   Rural
Kansas  sedgwick  2007  2  499.6  212.1   Rural
Colorado  douglas  2004  7  339.7  127.2   Rural
New Mexico  sandoval  1992  1  24.2  9.4   Rural
Washington  whitman  2002  1  20.7  8.9   Rural
Colorado  arapahoe  2006  17  716.7  298.6   Rural
California  santa clara  2007  15  1381.0  489.8   Rural
Utah  utah  1997  1  184.4  52.2   Rural
Indiana  tippecanoe  2005  4  345.7  142.2   Rural
New Mexico  union  1995  1  1.1  0.6   Rural
Texas  dallas  2005  3  2718.0  1082.6   Urban
North Carolina  robeson  2006  1  141.3  55.6   Rural
Oklahoma  tulsa  2001  2  1058.1  470.7   Rural
Iowa  polk  2006  2  750.5  317.6   Rural
California  stanislaus  1995  1  299.2  101.0   Rural
Kansas  rooks  2006  1  5.8  3.1   Rural
Colorado  boulder  2000  2  392.3  161.5   Rural
Michigan  eaton  1995  2  179.8  73.1   Rural
Missouri  taney  1999  1  62.8  31.1   Rural
California  tuolumne  2007  5  24.9  14.1   Rural
Tennessee  sullivan  2008  1  379.4  178.4   Rural
Illinois  montgomery  1998  1  43.6  17.8   Rural
Pennsylvania  erie  1998  2  350.2  142.6   Rural
Wisconsin  door  2010  1  57.6  49.7   Rural
Alabama  lee  2007  3  230.8  102.7   Rural
Ohio  lorain  2009  2  613.6  258.7   Rural
Florida  seminole  2001  1  1367.0  586.3   Urban
